onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.531325697	3	4	1	0.15	0.15	-1	3	1	1.90054997	0
10.82773602	3	4	2	0.15	0.15	1	1	0	2.467035721	0
16.3271733	3	4	3	0.15	0.15	4	-4	1	2.050551888	0
23.02354628	3	4	4	0.15	0.15	-3	3	0	2.597547269	0
28.12189258	3	4	5	0.15	0.15	-1	-2	1	1.950663638	0
33.65326919	3	4	6	0.15	0.15	3	4	1	2.433697753	0
40.7342333	3	4	7	0.15	0.15	4	-4	1	1.933891528	0
47.83620181	3	4	8	0.15	0.15	-3	1	1	2.517070196	0
55.72903254	3	4	9	0.15	0.15	3	-2	1	2.033923788	0
65.22579011	3	4	10	0.15	0.15	-3	-1	0	2.39762414	0
72.75654251	3	4	11	0.15	0.15	2	3	1	1.733935363	0
79.0383658	3	4	12	0.15	0.15	3	3	1	2.317060594	0
88.1346476	3	4	13	0.15	0.15	4	3	1	1.684034682	0
93.63612842	3	4	14	0.15	0.15	1	2	0	2.500441712	0
98.33118872	3	4	15	0.15	0.15	1	-3	0	2.367006749	0
108.2278275	3	4	16	0.15	0.15	4	1	1	2.182303877	0
117.7578521	3	4	17	0.15	0.15	-2	-4	0	1.367546121	0
127.2379998	3	4	18	0.15	0.15	-2	-1	0	2.300558656	0
131.9363181	3	4	19	0.15	0.15	2	-2	0	2.117242972	0
142.6326764	3	4	20	0.15	0.15	2	-4	0	1.783897181	0
151.3297738	3	4	21	0.15	0.15	-2	1	0	2.399002621	0
156.4613378	3	4	22	0.15	0.15	1	-4	1	2.400479442	0
163.1430972	3	4	23	0.15	0.15	-2	4	1	2.450342188	0
171.4395756	3	4	24	0.15	0.15	3	-4	0	1.467165029	0
179.3368341	3	4	25	0.15	0.15	3	-2	1	2.067260992	0
189.2334148	3	4	26	0.15	0.15	-2	-2	0	1.781275106	0
195.9311677	3	4	27	0.15	0.15	4	1	0	1.967094303	0
203.4618903	3	4	28	0.15	0.15	-2	-3	0	2.667001741	0
214.141605	3	4	29	0.15	0.15	-1	-2	0	1.800616445	0
222.8388313	3	4	30	0.15	0.15	-4	2	0	2.200401329	0
231.5357072	3	4	31	0.15	0.15	2	-2	1	1.715166751	0
237.8334799	3	4	32	0.15	0.15	-1	3	1	1.466837243	0
243.7647814	3	4	33	0.15	0.15	3	2	1	2.08390199	0
254.0446709	3	4	34	0.15	0.15	1	4	1	1.650686138	0
261.5462993	3	4	35	0.15	0.15	4	-4	1	2.367040399	0
270.6389461	3	4	36	0.15	0.15	2	-1	1	2.263662384	0
276.5369879	3	4	37	0.15	0.15	-1	1	0	1.933192777	0
281.2352916	3	4	38	0.15	0.15	4	-2	1	2.517060889	0
291.1485878	3	4	39	0.15	0.15	-3	-1	0	2.083868778	0
299.4504365	3	4	40	0.15	0.15	4	2	1	2.084122164	0
305.743792	3	4	41	0.15	0.15	-1	1	0	2.033982633	0
313.6409161	3	4	42	0.15	0.15	4	-3	1	1.714600006	0
323.9707517	3	4	43	0.15	0.15	1	4	1	2.083873522	0
331.0517275	3	4	44	0.15	0.15	-3	4	1	1.98388762	0
341.7519908	3	4	45	0.15	0.15	4	-3	0	1.450698713	0
346.8461941	3	4	46	0.15	0.15	-3	-3	0	2.800340235	0
355.9431984	3	4	47	0.15	0.15	-4	1	0	1.797819458	0
364.2736842	3	4	48	0.15	0.15	2	3	0	2.333816945	0
