onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.53244089	3	4	1	0.15	0.15	3	2	1	1.200086111	0
7.225655098	3	4	2	0.15	0.15	-3	2	0	1.316854037	0
15.12293508	3	4	3	0.15	0.15	-2	-4	0	1.26415391	0
21.02096942	3	4	4	0.15	0.15	-4	2	0	2.765366032	0
29.75128719	3	4	5	0.15	0.15	4	-4	1	1.516775442	0
40.43096061	3	4	6	0.15	0.15	4	-4	1	1.066981708	0
47.52855334	3	4	7	0.15	0.15	-1	-1	0	2.816345062	0
55.02599387	3	4	8	0.15	0.15	1	-2	1	2.563026509	0
62.12358281	3	4	9	0.15	0.15	3	-1	1	1.015973645	0
71.65367819	3	4	10	0.15	0.15	4	-3	1	1.116882454	0
76.33541023	3	4	11	0.15	0.15	-3	-1	0	1.916704625	0
87.03656705	3	4	12	0.15	0.15	-3	-1	0	2.033290194	0
93.3295658	3	4	13	0.15	0.15	-4	2	1	2.549808832	0
100.8269721	3	4	14	0.15	0.15	-1	3	0	2.164836315	0
110.7569777	3	4	15	0.15	0.15	1	-4	0	2.982895643	0
115.4387472	3	4	16	0.15	0.15	4	1	1	1.233591989	0
125.3353486	3	4	17	0.15	0.15	2	2	1	1.083578874	0
134.0323629	3	4	18	0.15	0.15	3	2	1	1.000363846	0
139.1305852	3	4	19	0.15	0.15	-2	1	0	1.683392608	0
145.4284313	3	4	20	0.15	0.15	1	1	0	2.081699547	0
150.5599709	3	4	21	0.15	0.15	-1	3	1	2.266597802	0
158.4406275	3	4	22	0.15	0.15	2	3	0	2.216618975	0
167.9416954	3	4	23	0.15	0.15	-3	4	0	1.733419696	0
173.4379379	3	4	24	0.15	0.15	2	2	1	2.066424556	0
178.9336686	3	4	25	0.15	0.15	-3	3	0	1.596433039	0
185.2315319	3	4	26	0.15	0.15	-2	-4	0	1.448042841	0
191.1628206	3	4	27	0.15	0.15	4	-3	1	1.250283842	0
199.4433533	3	4	28	0.15	0.15	-4	-4	0	1.183530183	0
208.5447071	3	4	29	0.15	0.15	-3	3	1	2.166509505	0
218.8368766	3	4	30	0.15	0.15	3	-3	1	1.750019631	0
229.133134	3	4	31	0.15	0.15	-2	-3	0	1.69886501	0
235.8642171	3	4	32	0.15	0.15	-2	-1	0	1.966725118	0
244.9443803	3	4	33	0.15	0.15	-1	1	0	1.450115566	0
252.8464396	3	4	34	0.15	0.15	4	-1	1	1.216912868	0
261.1388502	3	4	35	0.15	0.15	-1	-2	0	2.183202156	0
266.2371827	3	4	36	0.15	0.15	-2	-2	0	1.566763749	0
275.3673911	3	4	37	0.15	0.15	4	-2	1	1.016939424	0
286.047068	3	4	38	0.15	0.15	-1	-3	0	1.566819578	0
295.9435668	3	4	39	0.15	0.15	1	-4	1	2.099910564	0
303.4412189	3	4	40	0.15	0.15	2	4	1	1.083670519	0
310.5386553	3	4	41	0.15	0.15	-3	4	0	1.798544755	0
316.4366247	3	4	42	0.15	0.15	-3	4	1	1.516097447	0
321.9680848	3	4	43	0.15	0.15	2	-3	0	2.216514825	0
330.6484185	3	4	44	0.15	0.15	-1	-4	0	1.26679104	0
340.1495893	3	4	45	0.15	0.15	1	-2	0	1.849952673	0
344.843579	3	4	46	0.15	0.15	4	-3	1	1.650132117	0
355.1400656	3	4	47	0.15	0.15	2	1	1	1.466043415	0
363.4705666	3	4	48	0.15	0.15	4	1	1	1.116880144	0
