onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.529652606	3	3	1	0.15	0.15	-3	-3	0	2.049757595	0
5.627883412	3	3	2	0.15	0.15	2	3	1	1.150290084	0
16.32430301	3	3	3	0.15	0.15	2	3	1	1.516747909	0
27.02059895	3	3	4	0.15	0.15	1	1	1	1.832951501	0
33.7516634	3	3	5	0.15	0.15	-2	-2	0	1.500118338	0
40.03279442	3	3	6	0.15	0.15	3	-4	1	1.133561131	0
49.12972376	3	3	7	0.15	0.15	-2	-1	0	2.166535465	0
58.62649415	3	3	8	0.15	0.15	1	-3	0	1.816656491	0
66.52380219	3	3	9	0.15	0.15	2	-1	0	2.648983052	0
76.85358867	3	3	10	0.15	0.15	-1	1	0	2.716353954	0
85.53389387	3	3	11	0.15	0.15	3	-3	1	1.166970698	0
92.63549795	3	3	12	0.15	0.15	-4	-4	0	1.73346977	0
100.9452974	3	3	13	0.15	0.15	-1	4	0	2.11650607	0
111.2251347	3	3	14	0.15	0.15	2	-4	1	1.714809607	0
120.3392826	3	3	15	0.15	0.15	1	2	1	1.766746507	0
125.4369862	3	3	16	0.15	0.15	-2	-4	1	n/a	1
134.1339719	3	3	17	0.15	0.15	3	-1	1	1.400230795	0
141.6480808	3	3	18	0.15	0.15	-4	-2	0	2.316529192	0
151.1281471	3	3	19	0.15	0.15	-3	-2	0	1.69976615	0
161.0581185	3	3	20	0.15	0.15	-4	1	0	1.26691834	0
169.7385474	3	3	21	0.15	0.15	-1	1	0	2.466525997	0
180.039841	3	3	22	0.15	0.15	1	3	1	1.583431564	0
187.1325676	3	3	23	0.15	0.15	1	-4	1	2.113104937	0
193.8302324	3	3	24	0.15	0.15	1	2	1	n/a	1
203.7601902	3	3	25	0.15	0.15	1	-3	1	2.31643711	0
209.2416641	3	3	26	0.15	0.15	3	-4	1	n/a	1
218.3385933	3	3	27	0.15	0.15	3	-1	1	n/a	1
224.6364503	3	3	28	0.15	0.15	-1	2	1	1.583476272	0
232.5336911	3	3	29	0.15	0.15	-3	4	0	1.398131014	0
238.4317133	3	3	30	0.15	0.15	-2	-2	1	1.983084655	0
243.1634398	3	3	31	0.15	0.15	4	2	1	1.133552915	0
248.2450194	3	3	32	0.15	0.15	2	1	1	1.183574526	0
252.9433539	3	3	33	0.15	0.15	4	-3	1	1.066951122	0
258.8414191	3	3	34	0.15	0.15	4	3	1	1.433447102	0
268.3547682	3	3	35	0.15	0.15	2	2	1	n/a	1
275.4356462	3	3	36	0.15	0.15	2	3	1	1.032690041	0
281.3670467	3	3	37	0.15	0.15	-4	2	0	1.200235646	0
292.046663	3	3	38	0.15	0.15	1	4	0	1.949894548	0
300.3438071	3	3	39	0.15	0.15	3	-2	1	n/a	1
308.241153	3	3	40	0.15	0.15	3	-2	1	1.350206379	0
314.9388653	3	3	41	0.15	0.15	4	-1	1	1.081435961	0
321.2366582	3	3	42	0.15	0.15	3	-1	1	n/a	1
326.7681921	3	3	43	0.15	0.15	-2	4	0	1.450186902	0
331.4499174	3	3	44	0.15	0.15	-4	-3	0	1.18365681	0
338.9521346	3	3	45	0.15	0.15	-4	4	0	1.116849054	0
348.8439292	3	3	46	0.15	0.15	4	-4	1	1.100204349	0
354.3420838	3	3	47	0.15	0.15	-4	-1	0	1.131071176	0
362.6725696	3	3	48	0.15	0.15	3	3	1	1.500246534	0
