onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.531383239	3	4	1	0.15	0.15	3	-1	1	1.283438593	0
6.829198832	3	4	2	0.15	0.15	3	-3	1	1.500168354	0
13.13138822	3	4	3	0.15	0.15	4	-4	1	1.700170953	0
23.82334548	3	4	4	0.15	0.15	2	-1	1	2.081019198	0
30.52103493	3	4	5	0.15	0.15	1	-2	1	2.24904948	0
37.25206905	3	4	6	0.15	0.15	2	2	1	2.24990555	0
45.93243919	3	4	7	0.15	0.15	-3	-4	0	1.400231698	0
51.43420523	3	4	8	0.15	0.15	2	1	0	2.316555935	0
58.52818981	3	4	9	0.15	0.15	2	-3	0	1.933331998	0
67.62506369	3	4	10	0.15	0.15	-3	-2	0	1.548528253	0
77.95482156	3	4	11	0.15	0.15	2	-1	1	1.783443656	0
88.23464868	3	4	12	0.15	0.15	4	-2	1	1.450114225	0
92.93310082	3	4	13	0.15	0.15	3	-1	1	2.249928615	0
101.6301205	3	4	14	0.15	0.15	4	1	1	1.950031003	0
108.7276941	3	4	15	0.15	0.15	-3	-2	0	1.132149259	0
116.6582767	3	4	16	0.15	0.15	-1	-4	1	2.533165651	0
124.9388047	3	4	17	0.15	0.15	3	-2	1	1.516836984	0
133.2403616	3	4	18	0.15	0.15	4	3	1	1.216896776	0
140.3335045	3	4	19	0.15	0.15	-3	-1	0	2.116589402	0
149.8303587	3	4	20	0.15	0.15	4	-2	1	1.997582751	0
159.7602751	3	4	21	0.15	0.15	1	-3	0	1.850015726	0
167.2411735	3	4	22	0.15	0.15	1	-3	0	1.73343382	0
173.9387681	3	4	23	0.15	0.15	-4	-2	0	1.483488272	0
178.6370978	3	4	24	0.15	0.15	-1	1	1	n/a	1
184.1358415	3	4	25	0.15	0.15	-2	-2	1	2.078575192	0
194.0319126	3	4	26	0.15	0.15	1	1	1	1.333228091	0
203.16208	3	4	27	0.15	0.15	4	-3	1	1.73344685	0
213.0420168	3	4	28	0.15	0.15	1	3	1	1.950054791	0
218.1402428	3	4	29	0.15	0.15	4	-4	1	1.366865207	0
224.0382866	3	4	30	0.15	0.15	-2	4	0	1.400191255	0
231.9355956	3	4	31	0.15	0.15	-3	4	0	1.380675606	0
242.6652662	3	4	32	0.15	0.15	-1	-2	0	1.483509267	0
247.747245	3	4	33	0.15	0.15	3	3	1	1.117014787	0
258.4474574	3	4	34	0.15	0.15	-4	3	0	1.066918965	0
263.943621	3	4	35	0.15	0.15	-3	-3	0	1.516764704	0
269.8392445	3	4	36	0.15	0.15	3	4	1	0.996556877	0
277.3366799	3	4	37	0.15	0.15	-1	1	0	1.265336483	0
283.6678934	3	4	38	0.15	0.15	4	-1	1	1.100331878	0
293.1479851	3	4	39	0.15	0.15	-2	-4	0	1.383535064	0
299.050652	3	4	40	0.15	0.15	1	4	0	1.366932198	0
309.3424367	3	4	41	0.15	0.15	-4	-1	0	1.483542224	0
317.2397654	3	4	42	0.15	0.15	1	-4	0	2.330733184	0
326.7698567	3	4	43	0.15	0.15	-2	-3	0	2.266568363	0
331.4519762	3	4	44	0.15	0.15	-2	2	1	1.866638791	0
340.1485755	3	4	45	0.15	0.15	-1	2	0	1.833369375	0
349.2455303	3	4	46	0.15	0.15	-4	-4	0	1.366847653	0
356.7428843	3	4	47	0.15	0.15	-2	-4	0	2.479614455	0
365.0401022	3	4	48	0.15	0.15	2	3	0	2.432628189	0
