onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.531460682	3	7	1	0.1	0.2	3	-3	1	1.200343685	0
10.03259985	3	7	2	0.1	0.2	-2	-4	0	1.583583053	0
16.72586622	3	7	3	0.1	0.2	-2	-2	0	1.450339683	0
27.02231088	3	7	4	0.1	0.2	-3	-2	0	1.798421278	0
35.7526581	3	7	5	0.1	0.2	-4	-1	0	1.583602383	0
41.25083749	3	7	6	0.1	0.2	-4	2	0	1.983559978	0
49.93568479	3	7	7	0.1	0.2	-4	1	0	1.700204391	0
55.43189688	3	7	8	0.1	0.2	1	-4	1	1.283741844	0
60.9280758	3	7	9	0.1	0.2	1	-3	1	1.666963189	0
67.22533621	3	7	10	0.1	0.2	-1	3	1	1.748191368	0
76.75536216	3	7	11	0.1	0.2	2	3	1	1.933612815	0
81.83709243	3	7	12	0.1	0.2	-1	2	1	1.683549358	0
88.134846	3	7	13	0.1	0.2	-1	3	1	1.816810715	0
96.8317977	3	7	14	0.1	0.2	-4	-4	0	1.900196073	0
101.5301979	3	7	15	0.1	0.2	-1	4	1	2.366674128	0
108.2279206	3	7	16	0.1	0.2	-2	4	0	2.297807136	0
118.1579219	3	7	17	0.1	0.2	2	-3	1	2.416664995	0
125.638633	3	7	18	0.1	0.2	3	-3	1	2.08341776	0
134.7403684	3	7	19	0.1	0.2	-4	2	0	2.366708342	0
145.0487155	3	7	20	0.1	0.2	-1	-1	0	1.88346269	0
153.3291368	3	7	21	0.1	0.2	2	-1	1	2.564904941	0
159.660393	3	7	22	0.1	0.2	-3	-4	0	1.416903518	0
170.3401039	3	7	23	0.1	0.2	1	-4	1	1.483684051	0
175.4382555	3	7	24	0.1	0.2	-3	-3	0	1.433658487	0
182.5359035	3	7	25	0.1	0.2	2	4	1	1.383740146	0
191.6327093	3	7	26	0.1	0.2	3	-2	1	1.048057605	0
197.5307725	3	7	27	0.1	0.2	-2	2	1	1.532972661	0
207.4606525	3	7	28	0.1	0.2	-4	3	0	2.100101337	0
216.9453358	3	7	29	0.1	0.2	1	2	1	1.600243678	0
226.8373394	3	7	30	0.1	0.2	2	-1	1	1.816891464	0
237.1338584	3	7	31	0.1	0.2	2	1	1	2.014724881	0
247.8635109	3	7	32	0.1	0.2	3	2	1	2.166796492	0
254.9444823	3	7	33	0.1	0.2	2	-3	0	1.200417521	0
262.8461142	3	7	34	0.1	0.2	4	3	1	1.55032391	0
268.7413745	3	7	35	0.1	0.2	3	-1	1	1.800222262	0
273.438127	3	7	36	0.1	0.2	1	2	1	1.700345062	0
280.1358041	3	7	37	0.1	0.2	4	-4	1	2.149332917	0
284.8674985	3	7	38	0.1	0.2	4	-2	1	1.533676489	0
295.5472045	3	7	39	0.1	0.2	2	2	1	2.300047565	0
300.64549	3	7	40	0.1	0.2	3	1	1	1.317028575	0
308.5427773	3	7	41	0.1	0.2	-3	-1	0	1.966819271	0
316.0402736	3	7	42	0.1	0.2	-3	4	1	1.497237093	0
324.3373728	3	7	43	0.1	0.2	-4	-4	1	2.565387581	0
333.4675658	3	7	44	0.1	0.2	-1	-1	0	1.700289673	0
341.3482408	3	7	45	0.1	0.2	4	1	1	1.233782252	0
347.2496908	3	7	46	0.1	0.2	4	3	1	1.650226478	0
354.3438171	3	7	47	0.1	0.2	-1	1	0	2.000195545	0
361.8411717	3	7	48	0.1	0.2	-3	-4	1	2.631269351	0
