onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.531368802	3	4	1	0.15	0.15	4	-2	0	1.3166872	0
10.43270479	3	4	2	0.15	0.15	3	-1	1	1.383581641	0
17.12567337	3	4	3	0.15	0.15	3	-4	1	2.166512083	0
25.42284601	3	4	4	0.15	0.15	-4	4	1	1.581345797	0
35.752696	3	4	5	0.15	0.15	4	3	1	1.53354134	0
41.63399353	3	4	6	0.15	0.15	4	3	1	2.216548331	0
49.13141621	3	4	7	0.15	0.15	4	-4	1	1.749998221	0
57.82847514	3	4	8	0.15	0.15	-2	4	0	1.916715615	0
62.92670007	3	4	9	0.15	0.15	1	-2	0	2.016672071	0
70.42409622	3	4	10	0.15	0.15	1	-1	0	1.816251301	0
77.55507641	3	4	11	0.15	0.15	4	-4	1	1.333515293	0
84.63596868	3	4	12	0.15	0.15	1	4	0	1.550071154	0
93.3376743	3	4	13	0.15	0.15	-1	-3	0	1.516861157	0
102.4299232	3	4	14	0.15	0.15	-3	-2	0	1.200320424	0
113.1262684	3	4	15	0.15	0.15	-1	-2	0	2.548751147	0
118.2577846	3	4	16	0.15	0.15	-2	-3	0	1.883380506	0
125.7385433	3	4	17	0.15	0.15	-4	-1	0	2.083260969	0
134.8399402	3	4	18	0.15	0.15	-4	1	0	2.416444098	0
143.9323932	3	4	19	0.15	0.15	1	4	0	2.416449598	0
154.2288658	3	4	20	0.15	0.15	2	3	1	n/a	1
160.1601652	3	4	21	0.15	0.15	-2	-4	0	2.499814519	0
164.8585447	3	4	22	0.15	0.15	3	3	1	1.833380989	0
170.3400858	3	4	23	0.15	0.15	-1	-1	1	1.966745449	0
177.4416291	3	4	24	0.15	0.15	-2	-1	1	2.716220297	0
186.9343076	3	4	25	0.15	0.15	2	-2	1	n/a	1
193.6320524	3	4	26	0.15	0.15	3	-1	1	1.91483546	0
199.1301627	3	4	27	0.15	0.15	-4	1	0	1.866760065	0
207.0447224	3	4	28	0.15	0.15	1	-3	1	1.516840498	0
216.9406693	3	4	29	0.15	0.15	2	1	1	2.333189509	0
221.6391639	3	4	30	0.15	0.15	-3	-4	1	n/a	1
228.3368483	3	4	31	0.15	0.15	1	4	0	2.416492439	0
234.6347105	3	4	32	0.15	0.15	2	4	1	1.447559189	0
239.732978	3	4	33	0.15	0.15	3	-4	0	1.666819216	0
250.4462727	3	4	34	0.15	0.15	3	-3	0	1.216920554	0
258.7431219	3	4	35	0.15	0.15	-3	1	0	1.683404372	0
266.6404207	3	4	36	0.15	0.15	2	-2	1	2.982929052	0
276.1371824	3	4	37	0.15	0.15	1	1	1	1.8478543	0
280.8355876	3	4	38	0.15	0.15	2	2	1	n/a	1
289.1660491	3	4	39	0.15	0.15	-4	2	1	2.216576539	0
298.6461197	3	4	40	0.15	0.15	-2	-3	0	2.283164355	0
308.9473628	3	4	41	0.15	0.15	1	2	1	1.400124185	0
317.6396321	3	4	42	0.15	0.15	4	3	0	2.596855779	0
327.569607	3	4	43	0.15	0.15	-3	-2	1	2.38327082	0
333.067697	3	4	44	0.15	0.15	-3	3	1	2.166640089	0
340.9483833	3	4	45	0.15	0.15	4	-2	1	n/a	1
347.2461999	3	4	46	0.15	0.15	-3	-2	0	1.883361972	0
357.942533	3	4	47	0.15	0.15	1	-3	0	1.20025439	0
364.2404077	3	4	48	0.15	0.15	-2	1	1	1.132325408	0
