onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.52929578	3	5	1	0.1	0.2	-1	3	1	1.351090241	0
10.42587182	3	5	2	0.1	0.2	3	-4	1	2.000925716	0
16.323863	3	5	3	0.1	0.2	-1	-4	0	1.896986976	0
21.42218663	3	5	4	0.1	0.2	-4	-4	0	2.050915994	0
29.35273272	3	5	5	0.1	0.2	1	-1	1	2.417578951	0
37.63328678	3	5	6	0.1	0.2	1	2	1	1.851011994	0
45.93486616	3	5	7	0.1	0.2	4	-3	1	1.850968686	0
50.62886684	3	5	8	0.1	0.2	2	4	1	2.067548889	0
58.52609782	3	5	9	0.1	0.2	-3	-3	0	1.814868825	0
67.22318089	3	5	10	0.1	0.2	-3	2	1	1.916624679	0
76.33700598	3	5	11	0.1	0.2	4	-4	1	1.48448933	0
83.83417104	3	5	12	0.1	0.2	2	-1	1	1.667780836	0
94.53065803	3	5	13	0.1	0.2	-1	-2	0	1.917652199	0
104.0272347	3	5	14	0.1	0.2	-3	-3	0	1.699344489	0
113.9571932	3	5	15	0.1	0.2	3	-4	1	2.250859089	0
121.4379578	3	5	16	0.1	0.2	2	2	1	1.950951253	0
126.5363021	3	5	17	0.1	0.2	-1	-1	0	2.167568411	0
132.4342512	3	5	18	0.1	0.2	2	-2	0	1.417826814	0
140.7313736	3	5	19	0.1	0.2	4	-4	0	1.267838749	0
147.4291503	3	5	20	0.1	0.2	2	3	1	2.099723733	0
156.1594218	3	5	21	0.1	0.2	1	-4	0	1.38452266	0
166.8391346	3	5	22	0.1	0.2	2	1	1	1.384443364	0
177.1355907	3	5	23	0.1	0.2	3	4	1	1.501163758	0
186.632384	3	5	24	0.1	0.2	-2	2	0	2.631547949	0
196.1624681	3	5	25	0.1	0.2	-1	4	1	1.651065384	0
204.8428196	3	5	26	0.1	0.2	-2	-3	0	1.084557955	0
210.3409127	3	5	27	0.1	0.2	-3	1	0	2.500807929	0
218.2382806	3	5	28	0.1	0.2	-2	-4	0	1.15125245	0
228.9345542	3	5	29	0.1	0.2	-2	-4	0	0.999301897	0
236.4320713	3	5	30	0.1	0.2	2	3	0	1.850174619	0
242.3633625	3	5	31	0.1	0.2	-4	-3	0	1.101151798	0
247.8448019	3	5	32	0.1	0.2	-3	2	0	2.067578096	0
258.1452219	3	5	33	0.1	0.2	-4	1	1	2.06757307	0
265.2388629	3	5	34	0.1	0.2	-4	-2	0	1.134656314	0
274.3357442	3	5	35	0.1	0.2	1	-1	0	2.016634677	0
283.4659483	3	5	36	0.1	0.2	4	-3	0	1.501141588	0
290.5469186	3	5	37	0.1	0.2	4	1	1	1.51781723	0
295.2453076	3	5	38	0.1	0.2	1	2	0	2.467474561	0
301.5431206	3	5	39	0.1	0.2	4	2	1	1.351190904	0
308.6410183	3	5	40	0.1	0.2	-4	-2	0	1.850988318	0
313.7389031	3	5	41	0.1	0.2	-3	-1	0	1.984305121	0
324.0687338	3	5	42	0.1	0.2	-3	3	0	1.617731685	0
328.7505022	3	5	43	0.1	0.2	-1	3	1	2.48410125	0
335.0483404	3	5	44	0.1	0.2	-1	-3	0	1.217833974	0
341.7460122	3	5	45	0.1	0.2	-3	-2	1	2.284168026	0
348.0441568	3	5	46	0.1	0.2	4	1	1	1.467798056	0
354.7416288	3	5	47	0.1	0.2	-2	1	0	1.033281275	0
364.6715505	3	5	48	0.1	0.2	-3	1	0	1.184497295	0
