onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.531381283	3	8	1	0.2	0.1	-4	3	0	1.250889701	0
6.42931339	3	8	2	0.2	0.1	1	-3	0	1.550874052	0
12.72725805	3	8	3	0.2	0.1	-4	-4	0	1.250961196	0
20.64117813	3	8	4	0.2	0.1	2	-4	1	1.234372216	0
27.72208799	3	8	5	0.2	0.1	1	4	1	1.616583218	0
37.25213139	3	8	6	0.2	0.1	-3	-3	0	1.217667158	0
43.93320073	3	8	7	0.2	0.1	4	-4	1	1.950769791	0
50.63523159	3	8	8	0.2	0.1	-1	-3	0	1.900764188	0
58.92811753	3	8	9	0.2	0.1	1	-1	0	1.50098136	0
69.22457719	3	8	10	0.2	0.1	3	-2	1	1.316410935	0
77.95488196	3	8	11	0.2	0.1	1	4	1	2.983730327	0
87.83487418	3	8	12	0.2	0.1	3	-1	1	1.300983058	0
95.33598521	3	8	13	0.2	0.1	-4	-1	0	1.767602119	0
101.6303752	3	8	14	0.2	0.1	-3	-2	0	1.550880354	0
108.7277398	3	8	15	0.2	0.1	-4	-2	0	1.248559022	0
113.8260115	3	8	16	0.2	0.1	-1	4	0	1.61754742	0
124.5392413	3	8	17	0.2	0.1	2	-4	1	n/a	1
134.0357414	3	8	18	0.2	0.1	1	-1	1	1.517622937	0
139.5362151	3	8	19	0.2	0.1	-3	-3	1	n/a	1
144.2323218	3	8	20	0.2	0.1	-2	1	0	1.81742502	0
152.1296303	3	8	21	0.2	0.1	3	4	1	1.28244414	0
156.8280083	3	8	22	0.2	0.1	-4	2	0	1.067692794	0
161.5597303	3	8	23	0.2	0.1	3	-1	1	1.300787005	0
171.8394757	3	8	24	0.2	0.1	-4	1	0	1.250982868	0
180.1366456	3	8	25	0.2	0.1	-2	1	0	1.334300296	0
190.4331289	3	8	26	0.2	0.1	-1	3	1	n/a	1
197.1308225	3	8	27	0.2	0.1	-3	1	0	1.250480399	0
203.0622194	3	8	28	0.2	0.1	-2	3	0	1.584229781	0
208.54367	3	8	29	0.2	0.1	-4	-2	1	n/a	1
214.4416049	3	8	30	0.2	0.1	-4	-3	0	1.434314324	0
225.1379633	3	8	31	0.2	0.1	2	-3	1	1.567541239	0
230.2362585	3	8	32	0.2	0.1	-1	-2	0	1.750921256	0
239.7329882	3	8	33	0.2	0.1	-4	-4	0	1.166375747	0
248.8466782	3	8	34	0.2	0.1	-3	-4	0	1.217761455	0
255.9441258	3	8	35	0.2	0.1	-1	2	1	n/a	1
262.2419767	3	8	36	0.2	0.1	3	-3	1	1.600912977	0
270.1392896	3	8	37	0.2	0.1	-1	2	0	1.534255106	0
280.8355601	3	8	38	0.2	0.1	-2	2	1	1.516402632	0
290.7655406	3	8	39	0.2	0.1	-2	2	1	n/a	1
300.6455353	3	8	40	0.2	0.1	-4	-3	1	n/a	1
309.742349	3	8	41	0.2	0.1	-2	-3	1	n/a	1
315.2404729	3	8	42	0.2	0.1	-1	-1	0	1.231338888	0
324.337448	3	8	43	0.2	0.1	-2	4	0	1.98364503	0
333.0677949	3	8	44	0.2	0.1	2	2	1	1.684263712	0
338.1494013	3	8	45	0.2	0.1	-3	4	0	1.867557295	0
346.8463424	3	8	46	0.2	0.1	2	-1	1	1.234416607	0
354.3438068	3	8	47	0.2	0.1	-3	-2	0	1.167623798	0
362.6409504	3	8	48	0.2	0.1	4	1	1	n/a	1
