onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.529138123	3	1	1	0.15	0.15	3	-1	1	1.700838464	0
9.625600863	3	1	2	0.15	0.15	-3	2	1	1.667605489	0
19.52230144	3	1	3	0.15	0.15	-1	1	0	2.96614753	0
25.85346438	3	1	4	0.15	0.15	-4	3	0	2.567337127	0
34.53378449	3	1	5	0.15	0.15	2	-1	0	2.483960333	0
39.23213738	3	1	6	0.15	0.15	-2	2	0	2.967217623	0
49.92867334	3	1	7	0.15	0.15	-2	4	1	1.917524634	0
55.02679243	3	1	8	0.15	0.15	4	3	1	2.483944243	0
60.92481125	3	1	9	0.15	0.15	-1	3	0	1.682779603	0
71.65438602	3	1	10	0.15	0.15	2	-2	0	1.984161938	0
81.53444109	3	1	11	0.15	0.15	-2	-1	0	1.63428131	0
91.03118611	3	1	12	0.15	0.15	1	-4	0	1.584359858	0
100.5279139	3	1	13	0.15	0.15	-4	-4	0	1.865678505	0
108.8583637	3	1	14	0.15	0.15	1	2	1	1.76761803	0
115.1399829	3	1	15	0.15	0.15	-2	3	0	1.834163956	0
123.0368753	3	1	16	0.15	0.15	-2	4	1	1.634264574	0
131.7338898	3	1	17	0.15	0.15	-1	3	1	2.217395917	0
142.4302389	3	1	18	0.15	0.15	-1	-2	0	1.415403799	0
147.128666	3	1	19	0.15	0.15	-3	1	0	1.817621588	0
156.2588551	3	1	20	0.15	0.15	-3	-1	0	1.234477586	0
161.7403478	3	1	21	0.15	0.15	3	3	1	1.367790469	0
172.0368794	3	1	22	0.15	0.15	3	2	1	1.850905359	0
180.7338421	3	1	23	0.15	0.15	3	-4	0	1.467721619	0
187.831393	3	1	24	0.15	0.15	1	1	1	2.449916201	0
196.1618218	3	1	25	0.15	0.15	1	4	1	1.451048601	0
204.0425502	3	1	26	0.15	0.15	1	-2	0	2.283842078	0
209.5455055	3	1	27	0.15	0.15	-2	2	1	2.850609861	0
215.4407337	3	1	28	0.15	0.15	4	-2	0	1.817564245	0
224.5355348	3	1	29	0.15	0.15	1	3	1	1.648466752	0
232.0329816	3	1	30	0.15	0.15	-3	4	0	1.56639727	0
239.5476763	3	1	31	0.15	0.15	3	-3	1	2.067544852	0
244.6452679	3	1	32	0.15	0.15	-3	-2	0	1.351114677	0
250.9469706	3	1	33	0.15	0.15	-2	-3	0	1.65094557	0
256.4432789	3	1	34	0.15	0.15	-4	2	0	2.100806492	0
263.1389379	3	1	35	0.15	0.15	2	-4	0	1.997263815	0
269.8366666	3	1	36	0.15	0.15	-3	-4	0	1.050131896	0
275.7680531	3	1	37	0.15	0.15	-1	-4	0	2.000813668	0
282.8489108	3	1	38	0.15	0.15	4	3	1	1.534392373	0
289.9509102	3	1	39	0.15	0.15	3	-3	1	2.334094564	0
295.0447315	3	1	40	0.15	0.15	-4	1	0	1.767605361	0
302.5421487	3	1	41	0.15	0.15	4	1	1	1.967525078	0
310.839316	3	1	42	0.15	0.15	-2	1	0	2.433291543	0
320.3693737	3	1	43	0.15	0.15	1	-1	0	1.05116047	0
330.2542801	3	1	44	0.15	0.15	-4	-4	0	1.151132291	0
336.9470745	3	1	45	0.15	0.15	2	-3	0	1.551024599	0
347.2435987	3	1	46	0.15	0.15	-4	-4	0	1.997907113	0
355.1408663	3	1	47	0.15	0.15	-4	-2	0	1.71571641	0
365.4540513	3	1	48	0.15	0.15	4	1	1	1.650927794	0
