onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.531328213	3	2	1	0.15	0.15	1	3	0	2.049266908	0
8.428621905	3	2	2	0.15	0.15	2	-2	0	1.899371834	0
17.12561236	3	2	3	0.15	0.15	4	-3	1	1.466184847	0
25.42280997	3	2	4	0.15	0.15	-3	-2	0	1.963782182	0
31.32084393	3	2	5	0.15	0.15	1	-2	1	2.048701261	0
38.45159343	3	2	6	0.15	0.15	-3	4	0	1.482894891	0
46.33229289	3	2	7	0.15	0.15	2	3	0	2.432456897	0
51.43055438	3	2	8	0.15	0.15	2	4	1	2.682427681	0
56.12897199	3	2	9	0.15	0.15	4	1	1	2.26599017	0
63.62640478	3	2	10	0.15	0.15	3	4	1	1.513545232	0
72.32345887	3	2	11	0.15	0.15	1	4	0	2.581385739	0
80.65395274	3	2	12	0.15	0.15	-3	3	0	1.732682938	0
89.73419354	3	2	13	0.15	0.15	-3	3	0	1.716111938	0
98.43119675	3	2	14	0.15	0.15	3	-1	1	1.682806154	0
105.9285958	3	2	15	0.15	0.15	-3	4	0	1.996291991	0
112.2265189	3	2	16	0.15	0.15	-4	1	0	2.415455874	0
122.9396155	3	2	17	0.15	0.15	-2	1	0	1.982641335	0
132.0408639	3	2	18	0.15	0.15	3	-2	1	1.949296755	0
138.334277	3	2	19	0.15	0.15	-4	-3	0	1.815968832	0
145.048553	3	2	20	0.15	0.15	-2	-3	0	1.916052862	0
153.3290388	3	2	21	0.15	0.15	4	1	1	1.54914724	0
158.0608164	3	2	22	0.15	0.15	2	3	1	2.632526167	0
162.7431489	3	2	23	0.15	0.15	3	-1	0	1.916085283	0
169.8400332	3	2	24	0.15	0.15	1	2	0	2.032766377	0
176.1427956	3	2	25	0.15	0.15	2	1	1	1.499272321	0
182.8356858	3	2	26	0.15	0.15	-1	-3	0	1.749437497	0
187.9338507	3	2	27	0.15	0.15	-2	-1	0	2.415838534	0
197.0308791	3	2	28	0.15	0.15	3	-1	0	2.114846205	0
206.5609755	3	2	29	0.15	0.15	4	-2	1	1.349519968	0
212.0424784	3	2	30	0.15	0.15	-4	4	1	2.132612786	0
218.7400933	3	2	31	0.15	0.15	-1	-1	0	2.099267501	0
229.0366142	3	2	32	0.15	0.15	2	-4	0	1.999352926	0
234.9345853	3	2	33	0.15	0.15	4	-3	1	1.664919424	0
240.4659814	3	2	34	0.15	0.15	-1	-4	0	1.882810465	0
247.9635102	3	2	35	0.15	0.15	-2	4	1	1.699326243	0
257.8478863	3	2	36	0.15	0.15	-3	-2	0	1.566183967	0
263.3440321	3	2	37	0.15	0.15	-2	2	1	2.315854095	0
274.0378882	3	2	38	0.15	0.15	1	-4	0	2.096813976	0
284.7675322	3	2	39	0.15	0.15	-2	2	1	2.065983857	0
292.6482028	3	2	40	0.15	0.15	-4	2	0	2.565844044	0
302.9446002	3	2	41	0.15	0.15	-1	-3	0	2.732419696	0
313.2411555	3	2	42	0.15	0.15	4	-4	1	NaN	1
323.137685	3	2	43	0.15	0.15	-1	-1	0	1.415785263	0
333.0510404	3	2	44	0.15	0.15	4	-2	1	1.449514143	0
342.55223	3	2	45	0.15	0.15	-1	2	1	1.766116183	0
348.4484397	3	2	46	0.15	0.15	3	-3	1	1.416095089	0
357.9424709	3	2	47	0.15	0.15	1	-1	0	1.729625386	0
363.0407158	3	2	48	0.15	0.15	4	4	1	1.582784419	0
