onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.53086996	3	9	1	0.1	0.2	-4	4	1	1.717182217	0
8.432814483	3	9	2	0.1	0.2	3	1	0	1.367429801	0
17.52496295	3	9	3	0.1	0.2	-3	-3	0	1.18424944	0
26.62189453	3	9	4	0.1	0.2	1	-4	0	1.049428542	0
36.15192518	3	9	5	0.1	0.2	-1	1	0	2.283745733	0
45.23217664	3	9	6	0.1	0.2	-4	1	1	2.000588974	0
55.52872341	3	9	7	0.1	0.2	-2	4	0	2.250439114	0
66.22508019	3	9	8	0.1	0.2	-3	3	1	2.464138857	0
75.75513798	3	9	9	0.1	0.2	-2	3	0	1.600653787	0
81.25323511	3	9	10	0.1	0.2	-4	-3	0	0.884241518	0
86.33484408	3	9	11	0.1	0.2	-4	4	1	1.717397571	0
92.63705631	3	9	12	0.1	0.2	-4	-3	0	1.034172618	0
99.73037818	3	9	13	0.1	0.2	-3	2	0	2.167247974	0
107.6275177	3	9	14	0.1	0.2	3	4	1	1.89787641	0
112.325905	3	9	15	0.1	0.2	4	-4	0	1.00083767	0
122.2558854	3	9	16	0.1	0.2	-1	3	1	2.000600556	0
130.9362363	3	9	17	0.1	0.2	1	-4	0	1.634025641	0
138.4337625	3	9	18	0.1	0.2	-2	-2	0	1.767260774	0
146.7308649	3	9	19	0.1	0.2	3	4	1	2.346852166	0
154.6281961	3	9	20	0.1	0.2	1	1	0	1.815640038	0
159.3598443	3	9	21	0.1	0.2	1	3	1	1.284117798	0
164.4416171	3	9	22	0.1	0.2	3	-1	0	1.70066653	0
174.7422473	3	9	23	0.1	0.2	-2	1	0	1.833888209	0
179.8361904	3	9	24	0.1	0.2	-4	1	1	2.550408052	0
190.5325048	3	9	25	0.1	0.2	4	1	0	2.1811019	0
196.0307233	3	9	26	0.1	0.2	3	3	1	1.667404391	0
201.9619282	3	9	27	0.1	0.2	-3	4	0	1.600685822	0
208.2431313	3	9	28	0.1	0.2	-2	4	1	1.417447755	0
214.5455019	3	9	29	0.1	0.2	4	2	1	1.667355544	0
220.441792	3	9	30	0.1	0.2	-1	2	0	2.217071431	0
227.1367349	3	9	31	0.1	0.2	2	4	1	1.050902443	0
234.2341922	3	9	32	0.1	0.2	-4	2	1	2.232881774	0
242.5647515	3	9	33	0.1	0.2	2	-3	0	0.817757304	0
250.8453724	3	9	34	0.1	0.2	-1	3	0	2.483780762	0
255.5436441	3	9	35	0.1	0.2	4	-2	1	2.067193979	0
262.246104	3	9	36	0.1	0.2	1	-2	0	0.850953958	0
272.1379507	3	9	37	0.1	0.2	-4	-3	0	2.048088091	0
278.0359598	3	9	38	0.1	0.2	2	-1	1	2.533048089	0
284.7670265	3	9	39	0.1	0.2	2	-2	0	1.234144442	0
294.2471138	3	9	40	0.1	0.2	-3	-1	0	2.333811831	0
304.9434304	3	9	41	0.1	0.2	-1	-1	0	2.05058497	0
315.2399149	3	9	42	0.1	0.2	-3	-2	1	n/a	1
323.9701691	3	9	43	0.1	0.2	2	2	1	1.367412486	0
333.8502675	3	9	44	0.1	0.2	-3	2	0	1.66740641	0
341.3515654	3	9	45	0.1	0.2	-1	-4	0	1.517389423	0
350.0446816	3	9	46	0.1	0.2	2	-3	0	0.884196152	0
357.5421002	3	9	47	0.1	0.2	2	-1	0	0.882259094	0
363.040235	3	9	48	0.1	0.2	1	2	1	1.699717251	0
