onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.531434908	3	4	1	0.15	0.15	-2	-3	0	1.133472126	0
10.43180394	3	4	2	0.15	0.15	-3	4	1	1.983267889	0
16.32704216	3	4	3	0.15	0.15	3	-1	0	1.383541355	0
22.22392805	3	4	4	0.15	0.15	4	-1	0	1.863218916	0
30.52113944	3	4	5	0.15	0.15	-4	-4	0	1.433543999	0
41.23441691	3	4	6	0.15	0.15	4	-4	1	1.766724459	0
51.53477207	3	4	7	0.15	0.15	4	2	1	2.16661739	0
56.22900072	3	4	8	0.15	0.15	3	2	0	2.233347413	0
62.52723579	3	4	9	0.15	0.15	4	-2	0	2.149971026	0
70.02422243	3	4	10	0.15	0.15	-3	-2	0	2.982269564	0
77.55501689	3	4	11	0.15	0.15	-4	3	1	2.483195103	0
87.03512551	3	4	12	0.15	0.15	3	1	1	1.48357124	0
95.73203014	3	4	13	0.15	0.15	4	4	1	1.116982977	0
105.6287138	3	4	14	0.15	0.15	2	-2	1	1.983245714	0
114.7256319	3	4	15	0.15	0.15	-3	4	0	1.550046252	0
125.4388966	3	4	16	0.15	0.15	-2	-2	0	2.716440597	0
131.3366299	3	4	17	0.15	0.15	-1	2	0	1.183582911	0
138.0379996	3	4	18	0.15	0.15	-2	-1	0	2.266594358	0
145.1319793	3	4	19	0.15	0.15	1	-2	0	2.982937615	0
149.8303124	3	4	20	0.15	0.15	-1	3	1	2.849728559	0
159.3603871	3	4	21	0.15	0.15	-3	-1	1	2.133251497	0
167.2410258	3	4	22	0.15	0.15	-1	1	0	2.982975939	0
175.9380536	3	4	23	0.15	0.15	-2	1	0	1.416859724	0
180.6364009	3	4	24	0.15	0.15	1	-3	0	1.716548086	0
188.1505419	3	4	25	0.15	0.15	2	-2	1	2.049973484	0
193.6319888	3	4	26	0.15	0.15	2	3	0	2.981742258	0
200.7628777	3	4	27	0.15	0.15	1	-4	0	2.066630415	0
205.8611625	3	4	28	0.15	0.15	4	2	0	2.983009927	0
212.5422753	3	4	29	0.15	0.15	-1	-1	1	2.882969135	0
222.4432267	3	4	30	0.15	0.15	-4	3	0	1.933608621	0
227.5371287	3	4	31	0.15	0.15	3	3	1	2.983056432	0
233.0351828	3	4	32	0.15	0.15	-2	3	0	2.714281069	0
239.3330631	3	4	33	0.15	0.15	1	1	1	2.032718404	0
246.4639723	3	4	34	0.15	0.15	1	2	1	2.183250209	0
251.5455744	3	4	35	0.15	0.15	3	-3	1	1.733429537	0
261.8419941	3	4	36	0.15	0.15	4	1	1	1.433518438	0
270.9389174	3	4	37	0.15	0.15	-4	-3	0	2.383201503	0
281.2354011	3	4	38	0.15	0.15	4	-1	1	1.166327627	0
289.9658165	3	4	39	0.15	0.15	2	4	1	2.416419933	0
296.2471533	3	4	40	0.15	0.15	2	1	1	n/a	1
306.9432778	3	4	41	0.15	0.15	-2	4	0	1.133610805	0
316.0402168	3	4	42	0.15	0.15	1	4	0	1.030515892	0
324.3373807	3	4	43	0.15	0.15	1	4	0	0.966718954	0
329.8687441	3	4	44	0.15	0.15	-1	-3	0	1.783421828	0
337.7494538	3	4	45	0.15	0.15	-3	3	0	1.999982885	0
345.6467171	3	4	46	0.15	0.15	3	-2	1	1.950002218	0
355.1434985	3	4	47	0.15	0.15	-2	-4	0	1.09672664	0
361.8411809	3	4	48	0.15	0.15	-3	4	0	1.915643149	0
