onset	duration	BlockNum	BlockTrialNum	MotionReward	ColorReward	SignedMotionCohRight	SignedColorCohRight	Choice_isRight	RT	isMissedTrial
0.531119457	3	11	1	0.1	0.2	4	-3	0	2.617000513	0
9.228251198	3	11	2	0.1	0.2	-4	-4	0	1.434184178	0
16.72566708	3	11	3	0.1	0.2	2	-2	0	1.08419124	0
27.42194204	3	11	4	0.1	0.2	2	-4	0	1.165865397	0
32.95338506	3	11	5	0.1	0.2	-2	-1	0	1.167576752	0
43.63309837	3	11	6	0.1	0.2	3	3	1	1.950639991	0
53.12985428	3	11	7	0.1	0.2	3	4	1	1.783922715	0
60.22749999	3	11	8	0.1	0.2	4	1	0	0.96767003	0
69.72421873	3	11	9	0.1	0.2	-4	2	1	1.532896658	0
76.45520259	3	11	10	0.1	0.2	-1	1	1	n/a	1
86.73502653	3	11	11	0.1	0.2	4	-4	0	2.267214532	0
95.03660013	3	11	12	0.1	0.2	1	-3	1	n/a	1
102.9296045	3	11	13	0.1	0.2	1	-2	0	2.567046416	0
113.2260785	3	11	14	0.1	0.2	-2	2	1	1.283086173	0
123.1560095	3	11	15	0.1	0.2	4	-3	0	2.433785351	0
127.837723	3	11	16	0.1	0.2	1	4	1	1.850691526	0
135.3390714	3	11	17	0.1	0.2	1	4	1	n/a	1
144.4320527	3	11	18	0.1	0.2	2	1	0	1.767412224	0
153.9287938	3	11	19	0.1	0.2	4	3	0	1.515581285	0
160.2599233	3	11	20	0.1	0.2	-2	-3	0	1.150900576	0
170.5398406	3	11	21	0.1	0.2	-3	4	1	1.484111325	0
179.2367662	3	11	22	0.1	0.2	2	-4	0	1.684003399	0
185.5346469	3	11	23	0.1	0.2	3	-2	0	1.28417978	0
191.0327315	3	11	24	0.1	0.2	3	-1	1	n/a	1
199.3299969	3	11	25	0.1	0.2	4	4	1	n/a	1
207.2605854	3	11	26	0.1	0.2	-1	-3	0	1.750745382	0
214.3414942	3	11	27	0.1	0.2	3	2	0	1.33416059	0
223.4383622	3	11	28	0.1	0.2	1	1	1	2.91690216	0
233.3350163	3	11	29	0.1	0.2	1	-4	1	n/a	1
240.8324654	3	11	30	0.1	0.2	-4	2	1	1.750703525	0
247.9633831	3	11	31	0.1	0.2	1	-2	0	1.167555944	0
254.6444336	3	11	32	0.1	0.2	4	-2	0	1.034268185	0
259.7426804	3	11	33	0.1	0.2	-3	-3	0	1.084300425	0
265.6406039	3	11	34	0.1	0.2	-2	-4	0	0.917666522	0
271.5386377	3	11	35	0.1	0.2	1	-1	0	0.963868331	0
277.4365857	3	11	36	0.1	0.2	-2	3	1	2.198671266	0
285.367209	3	11	37	0.1	0.2	2	-3	0	2.167217712	0
293.6477056	3	11	38	0.1	0.2	3	1	1	1.551237411	0
303.5487252	3	11	39	0.1	0.2	-1	-2	0	1.300808663	0
312.2415791	3	11	40	0.1	0.2	-3	-4	0	1.267526225	0
318.5391985	3	11	41	0.1	0.2	1	3	1	1.182435352	0
329.2689129	3	11	42	0.1	0.2	4	-1	0	1.750697968	0
333.9506563	3	11	43	0.1	0.2	3	1	1	n/a	1
339.4487577	3	11	44	0.1	0.2	3	-3	0	1.134248669	0
344.5469761	3	11	45	0.1	0.2	-4	-1	0	1.484142008	0
349.6452501	3	11	46	0.1	0.2	2	2	1	1.434117049	0
354.3436934	3	11	47	0.1	0.2	2	-1	0	2.000634298	0
361.0414225	3	11	48	0.1	0.2	-3	2	1	2.282443455	0
